
Size 1024
4.448307 2148532224 483
4.457536 2148532224 482
4.457536 2148532224 482
4.457536 2148532224 482
4.457536 2148532224 482
4.457536 2148532224 482
4.448307 2148532224 483
4.448307 2148532224 483
4.448307 2148532224 483
4.448307 2148532224 483

Size 2048
2.417567 17184063488 7108
2.415867 17184063488 7113
2.425757 17184063488 7084
2.424730 17184063488 7087
2.423363 17184063488 7091
2.423363 17184063488 7091
2.422338 17184063488 7094
2.423363 17184063488 7091
2.423363 17184063488 7091
2.423363 17184063488 7091

Size 4096
2.137725 137455730688 64300
2.139256 137455730688 64254
2.137426 137455730688 64309
2.137925 137455730688 64294
2.137426 137455730688 64309
2.137991 137455730688 64292
2.137094 137455730688 64319
2.134373 137455730688 64401
2.137526 137455730688 64306
2.134571 137455730688 64395

Size 1024
4.439116 2148532224 484
4.448307 2148532224 483
4.448307 2148532224 483
4.457536 2148532224 482
4.448307 2148532224 483
4.448307 2148532224 483
4.457536 2148532224 482
4.448307 2148532224 483
4.448307 2148532224 483
4.457536 2148532224 482

Size 2048
2.414849 17184063488 7116
2.410783 17184063488 7128
2.413153 17184063488 7121
2.412137 17184063488 7124
2.412814 17184063488 7122
2.411460 17184063488 7126
2.412814 17184063488 7122
2.413492 17184063488 7120
2.416887 17184063488 7110
2.415867 17184063488 7113

Size 4096
2.130667 137455730688 64513
2.131394 137455730688 64491
2.128061 137455730688 64592
2.131824 137455730688 64478
2.128127 137455730688 64590
2.131295 137455730688 64494
2.127501 137455730688 64609
2.131031 137455730688 64502
2.127962 137455730688 64595
2.131361 137455730688 64492
