
Size 1024
52.229071 2193620992 42
66.473363 2193620992 33
66.473363 2193620992 33
66.473363 2193620992 33
64.518264 2193620992 34
66.473363 2193620992 33
66.473363 2193620992 33
64.518264 2193620992 34
64.518264 2193620992 34
64.518264 2193620992 34

Size 2048
88.144257 17364418560 197
81.523092 17364418560 213
81.523092 17364418560 213
80.390827 17364418560 216
80.020362 17364418560 217
80.764737 17364418560 215
80.020362 17364418560 217
80.020362 17364418560 217
80.390827 17364418560 216
79.653296 17364418560 218

Size 4096
75.341958 138177150976 1834
74.248872 138177150976 1861
74.892765 138177150976 1845
73.420378 138177150976 1882
74.569428 138177150976 1853
73.498485 138177150976 1880
74.288791 138177150976 1860
72.572033 138177150976 1904
73.264661 138177150976 1886
73.576758 138177150976 1878
